<br>カレンダーの<span>●</span>の日,,詳細については<a href="https://happymenkyo.com/ask">オペレーター</a>までお問い合わせください,,,,
企画名,タイトル,注釈,対象入校日,金額,金額追加情報,備考
限定割,ホテルシングルＡ（ＡＴ車）,,,202500,15000,30歳までの方に限る<br/>ＭＴ車　税込16200円ＵＰ<br/>ホテルツインは税込2700円引き<br>カレンダーの<span>●</span>の日
,,,,,,
春特,ホテルツインA　　ホテルシングルＡ（ＡＴ車）,,,215000,15000,30歳までの方に限る<br/>ＭＴ車　税込16200円ＵＰ<br>カレンダーの<span>●</span>の日
ゴールド,ホテルツインA　　ホテルシングルＡ（ＡＴ車）,,,238500,15000,30歳までの方に限る<br/>ＭＴ車　税込16200円ＵＰ<br>カレンダーの<span>●</span>の日
,,,,,,
年末一時帰宅,,,,,,年末年始は自宅でゆっくり過ごせるプラン。一時帰宅交通費付き(上限10000円）<br/>※交通費の支給額は、お申し込み時要確認。<br>カレンダーの<span>●</span>の日
,,,,,,
ツイン特別,,,,,,30歳までの方に限る。<br/>※同性2人でのお申込み<br/>※対象期間：10/1～1/18　3/24～5/31
二輪同時特別,普通AT車+普通二輪（MT科）,,,,,30歳までの方に限る<br/>普通ＭＴ車+普通二輪（ＭＴ科）　税込285660円<br/>※宿泊プランは、ホテルシングルまたはシングルユース<br/>※対象期間：10/1～1/18　3/24～5/31<br/>
オフシーズン一時帰宅コース,,,,,,2週間連続でお休みがとれない方。　一時帰宅交通費付き(上限10000円）<br/>※対象期間は基本、オフシーズン（料金表の青色期間）。その他の期間はご相談ください。<br/>※交通費の支給額は、お申し込み時要確認。
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
